office_name,ocd_division,homepage_url,phone,email,directions,location_name,address1,address2,city,state,zip_code,start_time,end_time,start_date,end_date,index,address_line,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
Bailey County,ocd-division/country:us/state:tx/county:bailey,http://www.co.bailey.tx.us/default.aspx?Bailey_County/County.Clerk,(806) 272-3044,elections@co.bailey.tx.us,,,300 South First St.,Ste 200,Muleshoe,TX,79347,08:00:00 - 05:00,17:00:00 - 05:00,10-31-2016,11-02-2016,17,"300 South First St. Ste 200, Muleshoe, TX, 79347",08:00 AM-05:00 PM,,ho95443776,false,true,,,,poll52954392
Bailey County,ocd-division/country:us/state:tx/county:bailey,http://www.co.bailey.tx.us/default.aspx?Bailey_County/County.Clerk,(806) 272-3044,elections@co.bailey.tx.us,,,300 South First St.,Ste 200,Muleshoe,TX,79347,08:00:00 - 05:00,18:00:00 - 05:00,11-03-2016,11-03-2016,18,"300 South First St. Ste 200, Muleshoe, TX, 79347",08:00 AM-06:00 PM,,ho95443776,false,true,,,,poll52954392
Bailey County,ocd-division/country:us/state:tx/county:bailey,http://www.co.bailey.tx.us/default.aspx?Bailey_County/County.Clerk,(806) 272-3044,elections@co.bailey.tx.us,,,300 South First St.,Ste 200,Muleshoe,TX,79347,08:00:00 - 05:00,17:00:00 - 05:00,11-04-2016,11-04-2016,19,"300 South First St. Ste 200, Muleshoe, TX, 79347",08:00 AM-05:00 PM,,ho95443776,false,true,,,,poll52954392
Bandera County,ocd-division/country:us/state:tx/county:bandera,http://www.banderacounty.org/departments/ElectionAdministrator.htm,(830) 796-8146,banderaelections@indian-creek.net,,,403 12th Street,,Bandera,TX,78003,07:00:00 - 05:00,19:00:00 - 05:00,10-24-2016,10-24-2016,20,"403 12th Street, Bandera, TX, 78003",07:00 AM-07:00 PM,,ho50574345,false,true,,,,poll4117220
Bandera County,ocd-division/country:us/state:tx/county:bandera,http://www.banderacounty.org/departments/ElectionAdministrator.htm,(830) 796-8146,banderaelections@indian-creek.net,,,403 12th Street,,Bandera,TX,78003,07:30:00 - 05:00,17:30:00 - 05:00,10-25-2016,10-28-2016,21,"403 12th Street, Bandera, TX, 78003",07:30 AM-05:30 PM,,ho50574345,false,true,,,,poll4117220
Bandera County,ocd-division/country:us/state:tx/county:bandera,http://www.banderacounty.org/departments/ElectionAdministrator.htm,(830) 796-8146,banderaelections@indian-creek.net,,,403 12th Street,,Bandera,TX,78003,09:00:00 - 05:00,12:00:00 - 05:00,10-29-2016,10-29-2016,22,"403 12th Street, Bandera, TX, 78003",09:00 AM-12:00 PM,,ho50574345,false,true,,,,poll4117220
Bandera County,ocd-division/country:us/state:tx/county:bandera,http://www.banderacounty.org/departments/ElectionAdministrator.htm,(830) 796-8146,banderaelections@indian-creek.net,,,403 12th Street,,Bandera,TX,78003,07:00:00 - 05:00,19:00:00 - 05:00,10-31-2016,11-04-2016,23,"403 12th Street, Bandera, TX, 78003",07:00 AM-07:00 PM,,ho50574345,false,true,,,,poll4117220
Bandera County,ocd-division/country:us/state:tx/county:bandera,http://www.banderacounty.org/departments/ElectionAdministrator.htm,(830) 796-8146,banderaelections@indian-creek.net,,Medina Annex,161 E.Parker St.,,Medina,TX,78055,07:30:00 - 05:00,17:30:00 - 05:00,10-24-2016,10-28-2016,24,"161 E.Parker St., Medina, TX, 78055",07:30 AM-05:30 PM,,ho41797073,false,true,,,,poll5794144
Bandera County,ocd-division/country:us/state:tx/county:bandera,http://www.banderacounty.org/departments/ElectionAdministrator.htm,(830) 796-8146,banderaelections@indian-creek.net,,Medina Annex,161 E.Parker St.,,Medina,TX,78055,07:30:00 - 05:00,17:30:00 - 05:00,10-31-2016,11-04-2016,25,"161 E.Parker St., Medina, TX, 78055",07:30 AM-05:30 PM,,ho41797073,false,true,,,,poll5794144
Bandera County,ocd-division/country:us/state:tx/county:bandera,http://www.banderacounty.org/departments/ElectionAdministrator.htm,(830) 796-8146,banderaelections@indian-creek.net,,,7200 F.M. 1283,,Lakehills,TX,78063,07:30:00 - 05:00,17:30:00 - 05:00,10-24-2016,10-28-2016,26,"7200 F.M. 1283, Lakehills, TX, 78063",07:30 AM-05:30 PM,,ho37210798,false,true,,,,poll61845422
Bandera County,ocd-division/country:us/state:tx/county:bandera,http://www.banderacounty.org/departments/ElectionAdministrator.htm,(830) 796-8146,banderaelections@indian-creek.net,,,7200 F.M. 1283,,Lakehills,TX,78063,07:30:00 - 05:00,17:30:00 - 05:00,10-31-2016,11-04-2016,27,"7200 F.M. 1283, Lakehills, TX, 78063",07:30 AM-05:30 PM,,ho37210798,false,true,,,,poll61845422
Bastrop County,ocd-division/country:us/state:tx/county:bastrop,http://www.bastropvotes.org/,(512) 581-7160,elections@co.bastrop.tx.us,,,804 Pecan,,Bastrop,TX,78602,08:00:00 - 05:00,17:00:00 - 05:00,10-24-2016,11-02-2016,28,"804 Pecan, Bastrop, TX, 78602",08:00 AM-05:00 PM,,ho93032956,false,true,,,,poll71355869
Bastrop County,ocd-division/country:us/state:tx/county:bastrop,http://www.bastropvotes.org/,(512) 581-7160,elections@co.bastrop.tx.us,,,804 Pecan,,Bastrop,TX,78602,07:00:00 - 05:00,19:00:00 - 05:00,11-03-2016,11-04-2016,29,"804 Pecan, Bastrop, TX, 78602",07:00 AM-07:00 PM,,ho93032956,false,true,,,,poll71355869
Bastrop County,ocd-division/country:us/state:tx/county:bastrop,http://www.bastropvotes.org/,(512) 581-7160,elections@co.bastrop.tx.us,,,317 Main St.,,Smithville,TX,78957,08:00:00 - 05:00,17:00:00 - 05:00,10-24-2016,11-02-2016,30,"317 Main St., Smithville, TX, 78957",08:00 AM-05:00 PM,,ho58365123,false,true,,,,poll54654025
Bastrop County,ocd-division/country:us/state:tx/county:bastrop,http://www.bastropvotes.org/,(512) 581-7160,elections@co.bastrop.tx.us,,,317 Main St.,,Smithville,TX,78957,07:00:00 - 05:00,19:00:00 - 05:00,11-03-2016,11-04-2016,31,"317 Main St., Smithville, TX, 78957",07:00 AM-07:00 PM,,ho58365123,false,true,,,,poll54654025
Bastrop County,ocd-division/country:us/state:tx/county:bastrop,http://www.bastropvotes.org/,(512) 581-7160,elections@co.bastrop.tx.us,,,5630 FM535,,Cedar Creek,TX,78612,08:00:00 - 05:00,17:00:00 - 05:00,10-24-2016,11-02-2016,32,"5630 FM535, Cedar Creek, TX, 78612",08:00 AM-05:00 PM,,ho10880410,false,true,,,,poll95900780
Bastrop County,ocd-division/country:us/state:tx/county:bastrop,http://www.bastropvotes.org/,(512) 581-7160,elections@co.bastrop.tx.us,,,5630 FM535,,Cedar Creek,TX,78612,07:00:00 - 05:00,19:00:00 - 05:00,11-03-2016,11-04-2016,33,"5630 FM535, Cedar Creek, TX, 78612",07:00 AM-07:00 PM,,ho10880410,false,true,,,,poll95900780
Bastrop County,ocd-division/country:us/state:tx/county:bastrop,http://www.bastropvotes.org/,(512) 581-7160,elections@co.bastrop.tx.us,,,404 N. Main St.,,Elgin,TX,78621,08:00:00 - 05:00,17:00:00 - 05:00,10-24-2016,11-02-2016,34,"404 N. Main St., Elgin, TX, 78621",08:00 AM-05:00 PM,,ho32056974,false,true,,,,poll14426096
Bastrop County,ocd-division/country:us/state:tx/county:bastrop,http://www.bastropvotes.org/,(512) 581-7160,elections@co.bastrop.tx.us,,,404 N. Main St.,,Elgin,TX,78621,07:00:00 - 05:00,19:00:00 - 05:00,11-03-2016,11-04-2016,35,"404 N. Main St., Elgin, TX, 78621",07:00 AM-07:00 PM,,ho32056974,false,true,,,,poll14426096
Bexar County,ocd-division/country:us/state:tx/county:bexar,http://home.bexar.org/elections/index.html,(210) 335-8683,votebymail@bexar.org,,,1103 S. Frio Street,Ste 100,San Antonio,TX,78207,08:00:00 - 05:00,18:00:00 - 05:00,10-24-2016,10-28-2016,36,"1103 S. Frio Street Ste 100, San Antonio, TX, 78207",08:00 AM-06:00 PM,,ho98610835,false,true,,,,poll59101632
Bexar County,ocd-division/country:us/state:tx/county:bexar,http://home.bexar.org/elections/index.html,(210) 335-8683,votebymail@bexar.org,,,1103 S. Frio Street,Ste 100,San Antonio,TX,78207,08:00:00 - 05:00,20:00:00 - 05:00,10-29-2016,10-29-2016,37,"1103 S. Frio Street Ste 100, San Antonio, TX, 78207",08:00 AM-08:00 PM,,ho98610835,false,true,,,,poll59101632
Bexar County,ocd-division/country:us/state:tx/county:bexar,http://home.bexar.org/elections/index.html,(210) 335-8683,votebymail@bexar.org,,,1103 S. Frio Street,Ste 100,San Antonio,TX,78207,12:00:00 - 05:00,18:00:00 - 05:00,10-30-2016,10-30-2016,38,"1103 S. Frio Street Ste 100, San Antonio, TX, 78207",12:00 PM-06:00 PM,,ho98610835,false,true,,,,poll59101632
Bexar County,ocd-division/country:us/state:tx/county:bexar,http://home.bexar.org/elections/index.html,(210) 335-8683,votebymail@bexar.org,,,1103 S. Frio Street,Ste 100,San Antonio,TX,78207,08:00:00 - 05:00,20:00:00 - 05:00,10-31-2016,11-04-2016,39,"1103 S. Frio Street Ste 100, San Antonio, TX, 78207",08:00 AM-08:00 PM,,ho98610835,false,true,,,,poll59101632
Bexar County,ocd-division/country:us/state:tx/county:bexar,http://home.bexar.org/elections/index.html,(210) 335-8683,votebymail@bexar.org,,,110 Tuleta Dr,,San Antonio,TX,78212,08:00:00 - 05:00,18:00:00 - 05:00,10-24-2016,10-28-2016,40,"110 Tuleta Dr, San Antonio, TX, 78212",08:00 AM-06:00 PM,,ho27173401,false,true,,,,poll51762624
Bexar County,ocd-division/country:us/state:tx/county:bexar,http://home.bexar.org/elections/index.html,(210) 335-8683,votebymail@bexar.org,,,110 Tuleta Dr,,San Antonio,TX,78212,08:00:00 - 05:00,20:00:00 - 05:00,10-29-2016,10-29-2016,41,"110 Tuleta Dr, San Antonio, TX, 78212",08:00 AM-08:00 PM,,ho27173401,false,true,,,,poll51762624
Bexar County,ocd-division/country:us/state:tx/county:bexar,http://home.bexar.org/elections/index.html,(210) 335-8683,votebymail@bexar.org,,,110 Tuleta Dr,,San Antonio,TX,78212,12:00:00 - 05:00,18:00:00 - 05:00,10-30-2016,10-30-2016,42,"110 Tuleta Dr, San Antonio, TX, 78212",12:00 PM-06:00 PM,,ho27173401,false,true,,,,poll51762624
Bexar County,ocd-division/country:us/state:tx/county:bexar,http://home.bexar.org/elections/index.html,(210) 335-8683,votebymail@bexar.org,,,110 Tuleta Dr,,San Antonio,TX,78212,08:00:00 - 05:00,20:00:00 - 05:00,10-31-2016,11-04-2016,43,"110 Tuleta Dr, San Antonio, TX, 78212",08:00 AM-08:00 PM,,ho27173401,false,true,,,,poll51762624
Bexar County,ocd-division/country:us/state:tx/county:bexar,http://home.bexar.org/elections/index.html,(210) 335-8683,votebymail@bexar.org,,,530 Heimer Rd,,San Antonio,TX,78232,08:00:00 - 05:00,18:00:00 - 05:00,10-24-2016,10-28-2016,44,"530 Heimer Rd, San Antonio, TX, 78232",08:00 AM-06:00 PM,,ho66703977,false,true,,,,poll215948
Bexar County,ocd-division/country:us/state:tx/county:bexar,http://home.bexar.org/elections/index.html,(210) 335-8683,votebymail@bexar.org,,,530 Heimer Rd,,San Antonio,TX,78232,08:00:00 - 05:00,20:00:00 - 05:00,10-29-2016,10-29-2016,45,"530 Heimer Rd, San Antonio, TX, 78232",08:00 AM-08:00 PM,,ho66703977,false,true,,,,poll215948
Bexar County,ocd-division/country:us/state:tx/county:bexar,http://home.bexar.org/elections/index.html,(210) 335-8683,votebymail@bexar.org,,,530 Heimer Rd,,San Antonio,TX,78232,12:00:00 - 05:00,18:00:00 - 05:00,10-30-2016,10-30-2016,46,"530 Heimer Rd, San Antonio, TX, 78232",12:00 PM-06:00 PM,,ho66703977,false,true,,,,poll215948
Bexar County,ocd-division/country:us/state:tx/county:bexar,http://home.bexar.org/elections/index.html,(210) 335-8683,votebymail@bexar.org,,,530 Heimer Rd,,San Antonio,TX,78232,08:00:00 - 05:00,20:00:00 - 05:00,10-31-2016,11-04-2016,47,"530 Heimer Rd, San Antonio, TX, 78232",08:00 AM-08:00 PM,,ho66703977,false,true,,,,poll215948
Bexar County,ocd-division/country:us/state:tx/county:bexar,http://home.bexar.org/elections/index.html,(210) 335-8683,votebymail@bexar.org,,,209 Lemonwood Dr,,Castle Hills,TX,78213,08:00:00 - 05:00,18:00:00 - 05:00,10-24-2016,10-28-2016,48,"209 Lemonwood Dr, Castle Hills, TX, 78213",08:00 AM-06:00 PM,,ho42542124,false,true,,,,poll41856660
Bexar County,ocd-division/country:us/state:tx/county:bexar,http://home.bexar.org/elections/index.html,(210) 335-8683,votebymail@bexar.org,,,209 Lemonwood Dr,,Castle Hills,TX,78213,08:00:00 - 05:00,20:00:00 - 05:00,10-29-2016,10-29-2016,49,"209 Lemonwood Dr, Castle Hills, TX, 78213",08:00 AM-08:00 PM,,ho42542124,false,true,,,,poll41856660
Bexar County,ocd-division/country:us/state:tx/county:bexar,http://home.bexar.org/elections/index.html,(210) 335-8683,votebymail@bexar.org,,,209 Lemonwood Dr,,Castle Hills,TX,78213,12:00:00 - 05:00,18:00:00 - 05:00,10-30-2016,10-30-2016,50,"209 Lemonwood Dr, Castle Hills, TX, 78213",12:00 PM-06:00 PM,,ho42542124,false,true,,,,poll41856660
Bexar County,ocd-division/country:us/state:tx/county:bexar,http://home.bexar.org/elections/index.html,(210) 335-8683,votebymail@bexar.org,,,209 Lemonwood Dr,,Castle Hills,TX,78213,08:00:00 - 05:00,20:00:00 - 05:00,10-31-2016,11-04-2016,51,"209 Lemonwood Dr, Castle Hills, TX, 78213",08:00 AM-08:00 PM,,ho42542124,false,true,,,,poll41856660
Bexar County,ocd-division/country:us/state:tx/county:bexar,http://home.bexar.org/elections/index.html,(210) 335-8683,votebymail@bexar.org,,,2805 E Commerce St,,San Antonio,TX,78202,08:00:00 - 05:00,18:00:00 - 05:00,10-24-2016,10-28-2016,52,"2805 E Commerce St, San Antonio, TX, 78202",08:00 AM-06:00 PM,,ho90788134,false,true,,,,poll90941216
Bexar County,ocd-division/country:us/state:tx/county:bexar,http://home.bexar.org/elections/index.html,(210) 335-8683,votebymail@bexar.org,,,2805 E Commerce St,,San Antonio,TX,78202,08:00:00 - 05:00,20:00:00 - 05:00,10-29-2016,10-29-2016,53,"2805 E Commerce St, San Antonio, TX, 78202",08:00 AM-08:00 PM,,ho90788134,false,true,,,,poll90941216
Bexar County,ocd-division/country:us/state:tx/county:bexar,http://home.bexar.org/elections/index.html,(210) 335-8683,votebymail@bexar.org,,,2805 E Commerce St,,San Antonio,TX,78202,12:00:00 - 05:00,18:00:00 - 05:00,10-30-2016,10-30-2016,54,"2805 E Commerce St, San Antonio, TX, 78202",12:00 PM-06:00 PM,,ho90788134,false,true,,,,poll90941216
Bexar County,ocd-division/country:us/state:tx/county:bexar,http://home.bexar.org/elections/index.html,(210) 335-8683,votebymail@bexar.org,,,2805 E Commerce St,,San Antonio,TX,78202,08:00:00 - 05:00,20:00:00 - 05:00,10-31-2016,11-04-2016,55,"2805 E Commerce St, San Antonio, TX, 78202",08:00 AM-08:00 PM,,ho90788134,false,true,,,,poll90941216
Bexar County,ocd-division/country:us/state:tx/county:bexar,http://home.bexar.org/elections/index.html,(210) 335-8683,votebymail@bexar.org,,,11441 Vance Jackson Rd,,San Antonio,TX,78230,08:00:00 - 05:00,18:00:00 - 05:00,10-24-2016,10-28-2016,56,"11441 Vance Jackson Rd, San Antonio, TX, 78230",08:00 AM-06:00 PM,,ho33448144,false,true,,,,poll36635414
Bexar County,ocd-division/country:us/state:tx/county:bexar,http://home.bexar.org/elections/index.html,(210) 335-8683,votebymail@bexar.org,,,11441 Vance Jackson Rd,,San Antonio,TX,78230,08:00:00 - 05:00,20:00:00 - 05:00,10-29-2016,10-29-2016,57,"11441 Vance Jackson Rd, San Antonio, TX, 78230",08:00 AM-08:00 PM,,ho33448144,false,true,,,,poll36635414
Bexar County,ocd-division/country:us/state:tx/county:bexar,http://home.bexar.org/elections/index.html,(210) 335-8683,votebymail@bexar.org,,,11441 Vance Jackson Rd,,San Antonio,TX,78230,12:00:00 - 05:00,18:00:00 - 05:00,10-30-2016,10-30-2016,58,"11441 Vance Jackson Rd, San Antonio, TX, 78230",12:00 PM-06:00 PM,,ho33448144,false,true,,,,poll36635414
Bexar County,ocd-division/country:us/state:tx/county:bexar,http://home.bexar.org/elections/index.html,(210) 335-8683,votebymail@bexar.org,,,11441 Vance Jackson Rd,,San Antonio,TX,78230,08:00:00 - 05:00,20:00:00 - 05:00,10-31-2016,11-04-2016,59,"11441 Vance Jackson Rd, San Antonio, TX, 78230",08:00 AM-08:00 PM,,ho33448144,false,true,,,,poll36635414
Bexar County,ocd-division/country:us/state:tx/county:bexar,http://home.bexar.org/elections/index.html,(210) 335-8683,votebymail@bexar.org,,,200 N Park Blvd,,San Antonio,TX,78204,08:00:00 - 05:00,18:00:00 - 05:00,10-24-2016,10-28-2016,60,"200 N Park Blvd, San Antonio, TX, 78204",08:00 AM-06:00 PM,,ho51592568,false,true,,,,poll55229482
Bexar County,ocd-division/country:us/state:tx/county:bexar,http://home.bexar.org/elections/index.html,(210) 335-8683,votebymail@bexar.org,,,200 N Park Blvd,,San Antonio,TX,78204,08:00:00 - 05:00,20:00:00 - 05:00,10-29-2016,10-29-2016,61,"200 N Park Blvd, San Antonio, TX, 78204",08:00 AM-08:00 PM,,ho51592568,false,true,,,,poll55229482
Bexar County,ocd-division/country:us/state:tx/county:bexar,http://home.bexar.org/elections/index.html,(210) 335-8683,votebymail@bexar.org,,,200 N Park Blvd,,San Antonio,TX,78204,12:00:00 - 05:00,18:00:00 - 05:00,10-30-2016,10-30-2016,62,"200 N Park Blvd, San Antonio, TX, 78204",12:00 PM-06:00 PM,,ho51592568,false,true,,,,poll55229482
Bexar County,ocd-division/country:us/state:tx/county:bexar,http://home.bexar.org/elections/index.html,(210) 335-8683,votebymail@bexar.org,,,200 N Park Blvd,,San Antonio,TX,78204,08:00:00 - 05:00,20:00:00 - 05:00,10-31-2016,11-04-2016,63,"200 N Park Blvd, San Antonio, TX, 78204",08:00 AM-08:00 PM,,ho51592568,false,true,,,,poll55229482
Bexar County,ocd-division/country:us/state:tx/county:bexar,http://home.bexar.org/elections/index.html,(210) 335-8683,votebymail@bexar.org,,,405 S Seguin Rd,,Converse,TX,78109,08:00:00 - 05:00,18:00:00 - 05:00,10-24-2016,10-28-2016,64,"405 S Seguin Rd, Converse, TX, 78109",08:00 AM-06:00 PM,,ho43403276,false,true,,,,poll35168153
Bexar County,ocd-division/country:us/state:tx/county:bexar,http://home.bexar.org/elections/index.html,(210) 335-8683,votebymail@bexar.org,,,405 S Seguin Rd,,Converse,TX,78109,08:00:00 - 05:00,20:00:00 - 05:00,10-29-2016,10-29-2016,65,"405 S Seguin Rd, Converse, TX, 78109",08:00 AM-08:00 PM,,ho43403276,false,true,,,,poll35168153
Bexar County,ocd-division/country:us/state:tx/county:bexar,http://home.bexar.org/elections/index.html,(210) 335-8683,votebymail@bexar.org,,,405 S Seguin Rd,,Converse,TX,78109,12:00:00 - 05:00,18:00:00 - 05:00,10-30-2016,10-30-2016,66,"405 S Seguin Rd, Converse, TX, 78109",12:00 PM-06:00 PM,,ho43403276,false,true,,,,poll35168153
Bexar County,ocd-division/country:us/state:tx/county:bexar,http://home.bexar.org/elections/index.html,(210) 335-8683,votebymail@bexar.org,,,405 S Seguin Rd,,Converse,TX,78109,08:00:00 - 05:00,20:00:00 - 05:00,10-31-2016,11-04-2016,67,"405 S Seguin Rd, Converse, TX, 78109",08:00 AM-08:00 PM,,ho43403276,false,true,,,,poll35168153
Bexar County,ocd-division/country:us/state:tx/county:bexar,http://home.bexar.org/elections/index.html,(210) 335-8683,votebymail@bexar.org,,,5003 Lord Rd,,San Antonio,TX,78220,08:00:00 - 05:00,18:00:00 - 05:00,10-24-2016,10-28-2016,68,"5003 Lord Rd, San Antonio, TX, 78220",08:00 AM-06:00 PM,,ho4941590,false,true,,,,poll42916076
Bexar County,ocd-division/country:us/state:tx/county:bexar,http://home.bexar.org/elections/index.html,(210) 335-8683,votebymail@bexar.org,,,5003 Lord Rd,,San Antonio,TX,78220,08:00:00 - 05:00,20:00:00 - 05:00,10-29-2016,10-29-2016,69,"5003 Lord Rd, San Antonio, TX, 78220",08:00 AM-08:00 PM,,ho4941590,false,true,,,,poll42916076
Bexar County,ocd-division/country:us/state:tx/county:bexar,http://home.bexar.org/elections/index.html,(210) 335-8683,votebymail@bexar.org,,,5003 Lord Rd,,San Antonio,TX,78220,12:00:00 - 05:00,18:00:00 - 05:00,10-30-2016,10-30-2016,70,"5003 Lord Rd, San Antonio, TX, 78220",12:00 PM-06:00 PM,,ho4941590,false,true,,,,poll42916076
Bexar County,ocd-division/country:us/state:tx/county:bexar,http://home.bexar.org/elections/index.html,(210) 335-8683,votebymail@bexar.org,,,5003 Lord Rd,,San Antonio,TX,78220,08:00:00 - 05:00,20:00:00 - 05:00,10-31-2016,11-04-2016,71,"5003 Lord Rd, San Antonio, TX, 78220",08:00 AM-08:00 PM,,ho4941590,false,true,,,,poll42916076
