office_name,office_title,types,ocd_division,description,homepage,phone,email,street,city,state,zip,start_time,end_time,start_date,end_date,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
Arthur County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:arthur,Arthur County NE,https://arthurcounty.nebraska.gov/content/clerk,(308) 764-2203,becky.swanson@nebraska.gov,205 Fir Street,Arthur,NE,69121,08:00:00 - 06:00,12:00:00 - 06:00,10/11/16,10/14/16,11,"205 Fir Street Arthur, NE 69121",,08:00 AM - 12:00 PM,,ho77732033,false,true,,,,poll45054001
Arthur County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:arthur,Arthur County NE,https://arthurcounty.nebraska.gov/content/clerk,(308) 764-2203,becky.swanson@nebraska.gov,205 Fir Street,Arthur,NE,69121,13:00:00 - 06:00,17:00:00 - 06:00,10/11/16,10/14/16,12,"205 Fir Street Arthur, NE 69121",,01:00 PM - 05:00 PM,,ho77732033,false,true,,,,poll45054001
Arthur County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:arthur,Arthur County NE,https://arthurcounty.nebraska.gov/content/clerk,(308) 764-2203,becky.swanson@nebraska.gov,205 Fir Street,Arthur,NE,69121,08:00:00 - 06:00,12:00:00 - 06:00,10/17/16,10/21/16,13,"205 Fir Street Arthur, NE 69121",,08:00 AM - 12:00 PM,,ho77732033,false,true,,,,poll45054001
Arthur County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:arthur,Arthur County NE,https://arthurcounty.nebraska.gov/content/clerk,(308) 764-2203,becky.swanson@nebraska.gov,205 Fir Street,Arthur,NE,69121,13:00:00 - 06:00,17:00:00 - 06:00,10/17/16,10/21/16,14,"205 Fir Street Arthur, NE 69121",,01:00 PM - 05:00 PM,,ho77732033,false,true,,,,poll45054001
Arthur County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:arthur,Arthur County NE,https://arthurcounty.nebraska.gov/content/clerk,(308) 764-2203,becky.swanson@nebraska.gov,205 Fir Street,Arthur,NE,69121,08:00:00 - 06:00,12:00:00 - 06:00,10/24/16,10/28/16,15,"205 Fir Street Arthur, NE 69121",,08:00 AM - 12:00 PM,,ho77732033,false,true,,,,poll45054001
Arthur County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:arthur,Arthur County NE,https://arthurcounty.nebraska.gov/content/clerk,(308) 764-2203,becky.swanson@nebraska.gov,205 Fir Street,Arthur,NE,69121,13:00:00 - 06:00,17:00:00 - 06:00,10/24/16,10/28/16,16,"205 Fir Street Arthur, NE 69121",,01:00 PM - 05:00 PM,,ho77732033,false,true,,,,poll45054001
Arthur County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:arthur,Arthur County NE,https://arthurcounty.nebraska.gov/content/clerk,(308) 764-2203,becky.swanson@nebraska.gov,205 Fir Street,Arthur,NE,69121,08:00:00 - 06:00,12:00:00 - 06:00,10/31/16,11/4/16,17,"205 Fir Street Arthur, NE 69121",,08:00 AM - 12:00 PM,,ho77732033,false,true,,,,poll45054001
Arthur County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:arthur,Arthur County NE,https://arthurcounty.nebraska.gov/content/clerk,(308) 764-2203,becky.swanson@nebraska.gov,205 Fir Street,Arthur,NE,69121,13:00:00 - 06:00,17:00:00 - 06:00,10/31/16,11/4/16,18,"205 Fir Street Arthur, NE 69121",,01:00 PM - 05:00 PM,,ho77732033,false,true,,,,poll45054001
Arthur County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:arthur,Arthur County NE,https://arthurcounty.nebraska.gov/content/clerk,(308) 764-2203,becky.swanson@nebraska.gov,205 Fir Street,Arthur,NE,69121,08:00:00 - 07:00,12:00:00 - 07:00,11/7/16,11/7/16,19,"205 Fir Street Arthur, NE 69121",,08:00 AM - 12:00 PM,,ho77732033,false,true,,,,poll45054001
Arthur County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:arthur,Arthur County NE,https://arthurcounty.nebraska.gov/content/clerk,(308) 764-2203,becky.swanson@nebraska.gov,205 Fir Street,Arthur,NE,69121,13:00:00 - 07:00,17:00:00 - 07:00,11/7/16,11/7/16,20,"205 Fir Street Arthur, NE 69121",,01:00 PM - 05:00 PM,,ho77732033,false,true,,,,poll45054001
Banner County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:banner,Banner County NE,http://www.bannercountynegov.org/clerk/,(308) 436-5265,clerk@banner.nacone.org,206 College St,Harrisburg,NE,69345,08:00:00 - 06:00,12:00:00 - 06:00,10/11/16,10/14/16,21,"206 College St Harrisburg, NE 69345",,08:00 AM - 12:00 PM,,ho10636801,false,true,,,,poll61071717
Banner County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:banner,Banner County NE,http://www.bannercountynegov.org/clerk/,(308) 436-5265,clerk@banner.nacone.org,206 College St,Harrisburg,NE,69345,13:00:00 - 06:00,16:30:00 - 06:00,10/11/16,10/14/16,22,"206 College St Harrisburg, NE 69345",,01:00 PM - 04:30 PM,,ho10636801,false,true,,,,poll61071717
Banner County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:banner,Banner County NE,http://www.bannercountynegov.org/clerk/,(308) 436-5265,clerk@banner.nacone.org,206 College St,Harrisburg,NE,69345,08:00:00 - 06:00,12:00:00 - 06:00,10/17/16,10/21/16,23,"206 College St Harrisburg, NE 69345",,08:00 AM - 12:00 PM,,ho10636801,false,true,,,,poll61071717
Banner County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:banner,Banner County NE,http://www.bannercountynegov.org/clerk/,(308) 436-5265,clerk@banner.nacone.org,206 College St,Harrisburg,NE,69345,13:00:00 - 06:00,16:30:00 - 06:00,10/17/16,10/21/16,24,"206 College St Harrisburg, NE 69345",,01:00 PM - 04:30 PM,,ho10636801,false,true,,,,poll61071717
Banner County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:banner,Banner County NE,http://www.bannercountynegov.org/clerk/,(308) 436-5265,clerk@banner.nacone.org,206 College St,Harrisburg,NE,69345,08:00:00 - 06:00,12:00:00 - 06:00,10/24/16,10/28/16,25,"206 College St Harrisburg, NE 69345",,08:00 AM - 12:00 PM,,ho10636801,false,true,,,,poll61071717
Banner County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:banner,Banner County NE,http://www.bannercountynegov.org/clerk/,(308) 436-5265,clerk@banner.nacone.org,206 College St,Harrisburg,NE,69345,13:00:00 - 06:00,16:30:00 - 06:00,10/24/16,10/28/16,26,"206 College St Harrisburg, NE 69345",,01:00 PM - 04:30 PM,,ho10636801,false,true,,,,poll61071717
Banner County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:banner,Banner County NE,http://www.bannercountynegov.org/clerk/,(308) 436-5265,clerk@banner.nacone.org,206 College St,Harrisburg,NE,69345,08:00:00 - 06:00,12:00:00 - 06:00,10/31/16,11/4/16,27,"206 College St Harrisburg, NE 69345",,08:00 AM - 12:00 PM,,ho10636801,false,true,,,,poll61071717
Banner County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:banner,Banner County NE,http://www.bannercountynegov.org/clerk/,(308) 436-5265,clerk@banner.nacone.org,206 College St,Harrisburg,NE,69345,13:00:00 - 06:00,16:30:00 - 06:00,10/31/16,11/4/16,28,"206 College St Harrisburg, NE 69345",,01:00 PM - 04:30 PM,,ho10636801,false,true,,,,poll61071717
Banner County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:banner,Banner County NE,http://www.bannercountynegov.org/clerk/,(308) 436-5265,clerk@banner.nacone.org,206 College St,Harrisburg,NE,69345,08:00:00 - 07:00,12:00:00 - 07:00,11/7/16,11/7/16,29,"206 College St Harrisburg, NE 69345",,08:00 AM - 12:00 PM,,ho10636801,false,true,,,,poll61071717
Banner County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:banner,Banner County NE,http://www.bannercountynegov.org/clerk/,(308) 436-5265,clerk@banner.nacone.org,206 College St,Harrisburg,NE,69345,13:00:00 - 07:00,16:30:00 - 07:00,11/7/16,11/7/16,30,"206 College St Harrisburg, NE 69345",,01:00 PM - 04:30 PM,,ho10636801,false,true,,,,poll61071717
Blaine County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:blaine,Blaine County NE,http://www.blainecounty.ne.gov/election.html,"(308) 547-2222, ext. 201",clerk@blaine.nacone.org,145 Lincoln Ave.,Brewster,NE,68821,08:00:00 - 05:00,16:00:00 - 05:00,10/11/16,10/14/16,31,"145 Lincoln Ave. Brewster, NE 68821",,08:00 AM - 04:00 PM,,ho8727829,false,true,,,,poll83415664
Blaine County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:blaine,Blaine County NE,http://www.blainecounty.ne.gov/election.html,"(308) 547-2222, ext. 201",clerk@blaine.nacone.org,145 Lincoln Ave.,Brewster,NE,68821,08:00:00 - 05:00,16:00:00 - 05:00,10/17/16,10/21/16,32,"145 Lincoln Ave. Brewster, NE 68821",,08:00 AM - 04:00 PM,,ho8727829,false,true,,,,poll83415664
Blaine County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:blaine,Blaine County NE,http://www.blainecounty.ne.gov/election.html,"(308) 547-2222, ext. 201",clerk@blaine.nacone.org,145 Lincoln Ave.,Brewster,NE,68821,08:00:00 - 05:00,16:00:00 - 05:00,10/24/16,10/28/16,33,"145 Lincoln Ave. Brewster, NE 68821",,08:00 AM - 04:00 PM,,ho8727829,false,true,,,,poll83415664
Blaine County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:blaine,Blaine County NE,http://www.blainecounty.ne.gov/election.html,"(308) 547-2222, ext. 201",clerk@blaine.nacone.org,145 Lincoln Ave.,Brewster,NE,68821,08:00:00 - 05:00,16:00:00 - 05:00,10/31/16,11/4/16,34,"145 Lincoln Ave. Brewster, NE 68821",,08:00 AM - 04:00 PM,,ho8727829,false,true,,,,poll83415664
Blaine County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:blaine,Blaine County NE,http://www.blainecounty.ne.gov/election.html,"(308) 547-2222, ext. 201",clerk@blaine.nacone.org,145 Lincoln Ave.,Brewster,NE,68821,08:00:00 - 06:00,16:00:00 - 06:00,11/7/16,11/7/16,35,"145 Lincoln Ave. Brewster, NE 68821",,08:00 AM - 04:00 PM,,ho8727829,false,true,,,,poll83415664
Boone County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:boone,Boone County NE,http://www.co.boone.ne.us/webpages/election/election.html,(402) 395-2055,clerk@boone.nacone.org,222 S. 4th Street,Albion,NE,68620,08:00:00 - 05:00,17:00:00 - 05:00,10/11/16,10/14/16,36,"222 S. 4th Street Albion, NE 68620",,08:00 AM - 05:00 PM,,ho11727646,false,true,,,,poll66284358
Boone County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:boone,Boone County NE,http://www.co.boone.ne.us/webpages/election/election.html,(402) 395-2055,clerk@boone.nacone.org,222 S. 4th Street,Albion,NE,68620,08:00:00 - 05:00,17:00:00 - 05:00,10/17/16,10/21/16,37,"222 S. 4th Street Albion, NE 68620",,08:00 AM - 05:00 PM,,ho11727646,false,true,,,,poll66284358
Boone County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:boone,Boone County NE,http://www.co.boone.ne.us/webpages/election/election.html,(402) 395-2055,clerk@boone.nacone.org,222 S. 4th Street,Albion,NE,68620,08:00:00 - 05:00,17:00:00 - 05:00,10/24/16,10/28/16,38,"222 S. 4th Street Albion, NE 68620",,08:00 AM - 05:00 PM,,ho11727646,false,true,,,,poll66284358
Boone County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:boone,Boone County NE,http://www.co.boone.ne.us/webpages/election/election.html,(402) 395-2055,clerk@boone.nacone.org,222 S. 4th Street,Albion,NE,68620,08:00:00 - 05:00,17:00:00 - 05:00,10/31/16,11/4/16,39,"222 S. 4th Street Albion, NE 68620",,08:00 AM - 05:00 PM,,ho11727646,false,true,,,,poll66284358
Boone County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:boone,Boone County NE,http://www.co.boone.ne.us/webpages/election/election.html,(402) 395-2055,clerk@boone.nacone.org,222 S. 4th Street,Albion,NE,68620,08:00:00 - 06:00,17:00:00 - 06:00,11/7/16,11/7/16,40,"222 S. 4th Street Albion, NE 68620",,08:00 AM - 05:00 PM,,ho11727646,false,true,,,,poll66284358
Box Butte County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:box_butte,Box Butte County NE,http://www.co.box-butte.ne.us/election.html,(308) 762-6565,boxbutteclerk@yahoo.com,515 Box Butte Avenue ,Alliance,NE,69301,08:00:00 - 06:00,16:00:00 - 06:00,10/11/16,10/14/16,41,"515 Box Butte Avenue  Alliance, NE 69301",,08:00 AM - 04:00 PM,,ho60338116,false,true,,,,poll33143836
Box Butte County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:box_butte,Box Butte County NE,http://www.co.box-butte.ne.us/election.html,(308) 762-6565,boxbutteclerk@yahoo.com,515 Box Butte Avenue ,Alliance,NE,69301,08:00:00 - 06:00,16:00:00 - 06:00,10/17/16,10/21/16,42,"515 Box Butte Avenue  Alliance, NE 69301",,08:00 AM - 04:00 PM,,ho60338116,false,true,,,,poll33143836
Box Butte County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:box_butte,Box Butte County NE,http://www.co.box-butte.ne.us/election.html,(308) 762-6565,boxbutteclerk@yahoo.com,515 Box Butte Avenue ,Alliance,NE,69301,08:00:00 - 06:00,16:00:00 - 06:00,10/24/16,10/28/16,43,"515 Box Butte Avenue  Alliance, NE 69301",,08:00 AM - 04:00 PM,,ho60338116,false,true,,,,poll33143836
Box Butte County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:box_butte,Box Butte County NE,http://www.co.box-butte.ne.us/election.html,(308) 762-6565,boxbutteclerk@yahoo.com,515 Box Butte Avenue ,Alliance,NE,69301,08:00:00 - 06:00,16:00:00 - 06:00,10/31/16,11/4/16,44,"515 Box Butte Avenue  Alliance, NE 69301",,08:00 AM - 04:00 PM,,ho60338116,false,true,,,,poll33143836
Box Butte County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:box_butte,Box Butte County NE,http://www.co.box-butte.ne.us/election.html,(308) 762-6565,boxbutteclerk@yahoo.com,515 Box Butte Avenue ,Alliance,NE,69301,08:00:00 - 07:00,16:00:00 - 07:00,11/7/16,11/7/16,45,"515 Box Butte Avenue  Alliance, NE 69301",,08:00 AM - 04:00 PM,,ho60338116,false,true,,,,poll33143836
Boyd County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:boyd,Boyd County NE,http://www.boydcounty.ne.gov/webpages/election/election.html,(402) 775-2391,clerk@boyd.nacone.org,401 Thayer,Butte,NE,68722,08:15:00 - 05:00,16:00:00 - 05:00,10/11/16,10/14/16,46,"401 Thayer Butte, NE 68722",,08:15 AM - 04:00 PM,,ho74094092,false,true,,,,poll60762923
Boyd County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:boyd,Boyd County NE,http://www.boydcounty.ne.gov/webpages/election/election.html,(402) 775-2391,clerk@boyd.nacone.org,401 Thayer,Butte,NE,68722,08:15:00 - 05:00,16:00:00 - 05:00,10/17/16,10/21/16,47,"401 Thayer Butte, NE 68722",,08:15 AM - 04:00 PM,,ho74094092,false,true,,,,poll60762923
Boyd County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:boyd,Boyd County NE,http://www.boydcounty.ne.gov/webpages/election/election.html,(402) 775-2391,clerk@boyd.nacone.org,401 Thayer,Butte,NE,68722,08:15:00 - 05:00,16:00:00 - 05:00,10/24/16,10/28/16,48,"401 Thayer Butte, NE 68722",,08:15 AM - 04:00 PM,,ho74094092,false,true,,,,poll60762923
Boyd County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:boyd,Boyd County NE,http://www.boydcounty.ne.gov/webpages/election/election.html,(402) 775-2391,clerk@boyd.nacone.org,401 Thayer,Butte,NE,68722,08:15:00 - 05:00,16:00:00 - 05:00,10/31/16,11/4/16,49,"401 Thayer Butte, NE 68722",,08:15 AM - 04:00 PM,,ho74094092,false,true,,,,poll60762923
Boyd County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:boyd,Boyd County NE,http://www.boydcounty.ne.gov/webpages/election/election.html,(402) 775-2391,clerk@boyd.nacone.org,401 Thayer,Butte,NE,68722,08:15:00 - 06:00,16:00:00 - 06:00,11/7/16,11/7/16,50,"401 Thayer Butte, NE 68722",,08:15 AM - 04:00 PM,,ho74094092,false,true,,,,poll60762923
Brown County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:brown,Brown County NE,http://www.county-clerk.net/countyclerk.asp?state=Nebraska&county=Brown,(402) 387-2705,bcclerk@threeriver.net,148 W. 4th Street,Ainsworth,NE,69210,08:00:00 - 05:00,17:00:00 - 05:00,10/11/16,10/14/16,51,"148 W. 4th Street Ainsworth, NE 69210",,08:00 AM - 05:00 PM,,ho53285387,false,true,,,,poll25054599
Brown County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:brown,Brown County NE,http://www.county-clerk.net/countyclerk.asp?state=Nebraska&county=Brown,(402) 387-2705,bcclerk@threeriver.net,148 W. 4th Street,Ainsworth,NE,69210,08:00:00 - 05:00,17:00:00 - 05:00,10/17/16,10/21/16,52,"148 W. 4th Street Ainsworth, NE 69210",,08:00 AM - 05:00 PM,,ho53285387,false,true,,,,poll25054599
Brown County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:brown,Brown County NE,http://www.county-clerk.net/countyclerk.asp?state=Nebraska&county=Brown,(402) 387-2705,bcclerk@threeriver.net,148 W. 4th Street,Ainsworth,NE,69210,08:00:00 - 05:00,17:00:00 - 05:00,10/24/16,10/28/16,53,"148 W. 4th Street Ainsworth, NE 69210",,08:00 AM - 05:00 PM,,ho53285387,false,true,,,,poll25054599
Brown County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:brown,Brown County NE,http://www.county-clerk.net/countyclerk.asp?state=Nebraska&county=Brown,(402) 387-2705,bcclerk@threeriver.net,148 W. 4th Street,Ainsworth,NE,69210,08:00:00 - 05:00,17:00:00 - 05:00,10/31/16,11/4/16,54,"148 W. 4th Street Ainsworth, NE 69210",,08:00 AM - 05:00 PM,,ho53285387,false,true,,,,poll25054599
Brown County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:brown,Brown County NE,http://www.county-clerk.net/countyclerk.asp?state=Nebraska&county=Brown,(402) 387-2705,bcclerk@threeriver.net,148 W. 4th Street,Ainsworth,NE,69210,08:00:00 - 06:00,17:00:00 - 06:00,11/7/16,11/7/16,55,"148 W. 4th Street Ainsworth, NE 69210",,08:00 AM - 05:00 PM,,ho53285387,false,true,,,,poll25054599
Buffalo County,Election Commissioner,":election,:registration",ocd-division/country:us/state:ne/county:buffalo,Buffalo County NE,http://www.buffalogov.org/ELECTION-COMMISSION,(308) 236-1233,elections@buffalocounty.ne.gov,1512 Central Ave.,Kearney,NE,68848,08:00:00 - 05:00,17:00:00 - 05:00,10/11/16,10/14/16,56,"1512 Central Ave. Kearney, NE 68848",,08:00 AM - 05:00 PM,,ho91868945,false,true,,,,poll20757794
Buffalo County,Election Commissioner,":election,:registration",ocd-division/country:us/state:ne/county:buffalo,Buffalo County NE,http://www.buffalogov.org/ELECTION-COMMISSION,(308) 236-1233,elections@buffalocounty.ne.gov,1512 Central Ave.,Kearney,NE,68848,08:00:00 - 05:00,17:00:00 - 05:00,10/17/16,10/21/16,57,"1512 Central Ave. Kearney, NE 68848",,08:00 AM - 05:00 PM,,ho91868945,false,true,,,,poll20757794
Buffalo County,Election Commissioner,":election,:registration",ocd-division/country:us/state:ne/county:buffalo,Buffalo County NE,http://www.buffalogov.org/ELECTION-COMMISSION,(308) 236-1233,elections@buffalocounty.ne.gov,1512 Central Ave.,Kearney,NE,68848,08:00:00 - 05:00,17:00:00 - 05:00,10/24/16,10/28/16,58,"1512 Central Ave. Kearney, NE 68848",,08:00 AM - 05:00 PM,,ho91868945,false,true,,,,poll20757794
Buffalo County,Election Commissioner,":election,:registration",ocd-division/country:us/state:ne/county:buffalo,Buffalo County NE,http://www.buffalogov.org/ELECTION-COMMISSION,(308) 236-1233,elections@buffalocounty.ne.gov,1512 Central Ave.,Kearney,NE,68848,08:00:00 - 05:00,17:00:00 - 05:00,10/31/16,11/4/16,59,"1512 Central Ave. Kearney, NE 68848",,08:00 AM - 05:00 PM,,ho91868945,false,true,,,,poll20757794
Buffalo County,Election Commissioner,":election,:registration",ocd-division/country:us/state:ne/county:buffalo,Buffalo County NE,http://www.buffalogov.org/ELECTION-COMMISSION,(308) 236-1233,elections@buffalocounty.ne.gov,1512 Central Ave.,Kearney,NE,68848,08:00:00 - 06:00,17:00:00 - 06:00,11/7/16,11/7/16,60,"1512 Central Ave. Kearney, NE 68848",,08:00 AM - 05:00 PM,,ho91868945,false,true,,,,poll20757794
Burt County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:burt,Burt County NE,http://www.burtcounty.ne.gov/webpages/election/election.html,(402) 374-2955,burtcoclerk@abbnebraska.com,"111 N. 13th St., Ste 8",Tekamah,NE,68061,08:00:00 - 05:00,16:30:00 - 05:00,10/11/16,10/14/16,61,"111 N. 13th St., Ste 8 Tekamah, NE 68061",,08:00 AM - 04:30 PM,,ho4345847,false,true,,,,poll47252550
Burt County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:burt,Burt County NE,http://www.burtcounty.ne.gov/webpages/election/election.html,(402) 374-2955,burtcoclerk@abbnebraska.com,"111 N. 13th St., Ste 8",Tekamah,NE,68061,08:00:00 - 05:00,16:30:00 - 05:00,10/17/16,10/21/16,62,"111 N. 13th St., Ste 8 Tekamah, NE 68061",,08:00 AM - 04:30 PM,,ho4345847,false,true,,,,poll47252550
Burt County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:burt,Burt County NE,http://www.burtcounty.ne.gov/webpages/election/election.html,(402) 374-2955,burtcoclerk@abbnebraska.com,"111 N. 13th St., Ste 8",Tekamah,NE,68061,08:00:00 - 05:00,16:30:00 - 05:00,10/24/16,10/28/16,63,"111 N. 13th St., Ste 8 Tekamah, NE 68061",,08:00 AM - 04:30 PM,,ho4345847,false,true,,,,poll47252550
Burt County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:burt,Burt County NE,http://www.burtcounty.ne.gov/webpages/election/election.html,(402) 374-2955,burtcoclerk@abbnebraska.com,"111 N. 13th St., Ste 8",Tekamah,NE,68061,08:00:00 - 05:00,16:30:00 - 05:00,10/31/16,11/4/16,64,"111 N. 13th St., Ste 8 Tekamah, NE 68061",,08:00 AM - 04:30 PM,,ho4345847,false,true,,,,poll47252550
Burt County,County Clerk,":election,:registration",ocd-division/country:us/state:ne/county:burt,Burt County NE,http://www.burtcounty.ne.gov/webpages/election/election.html,(402) 374-2955,burtcoclerk@abbnebraska.com,"111 N. 13th St., Ste 8",Tekamah,NE,68061,08:00:00 - 06:00,16:30:00 - 06:00,11/7/16,11/7/16,65,"111 N. 13th St., Ste 8 Tekamah, NE 68061",,08:00 AM - 04:30 PM,,ho4345847,false,true,,,,poll47252550
