countyname,sitename,location_name,address,address2,address3,city,state,zip,directions,voterservices,start_date,end_date,start_time,end_time
Brevard County,Canova Beach,Canova Beach Park Community Center,2289 A1A,,,Indian Harbour Beach,FL,32937,,,11/5/16,11/5/16,08:00 AM EDT,04:00 PM EDT
Brevard County,Central Reference Library,Central Reference Library,308 Forrest Ave,,,Cocoa,FL,32922,,,10/29/16,10/30/16,08:00 AM EDT,04:00 PM EDT
Brevard County,Central Reference Library,Central Reference Library,308 Forrest Ave,,,Cocoa,FL,32922,,,10/31/16,11/4/16,08:00 AM EDT,06:00 PM EDT
Brevard County,Central Reference Library,Central Reference Library,308 Forrest Ave,,,Cocoa,FL,32922,,,10/24/16,10/28/16,08:00 AM EDT,06:00 PM EDT
Brevard County,Central Reference Library,Central Reference Library,308 Forrest Ave,,,Cocoa,FL,32922,,,11/5/16,11/5/16,08:00 AM EDT,04:00 PM EDT
Brevard County,Kiwanis Park,Kiwanis Island Park Pavilion Carlton Room ,951 Kiwanis Island Park RD ,,,Merritt Island,FL,32952,,,10/24/16,10/28/16,08:00 AM EDT,06:00 PM EDT
Brevard County,Kiwanis Park,Kiwanis Island Park Pavilion Carlton Room ,951 Kiwanis Island Park RD ,,,Merritt Island,FL,32952,,,10/29/16,10/30/16,08:00 AM EDT,04:00 PM EDT
Brevard County,Kiwanis Park,Kiwanis Island Park Pavilion Carlton Room ,951 Kiwanis Island Park RD ,,,Merritt Island,FL,32952,,,10/31/16,11/4/16,08:00 AM EDT,06:00 PM EDT
Brevard County,Kiwanis Park,Kiwanis Island Park Pavilion Carlton Room ,951 Kiwanis Island Park RD ,,,Merritt Island,FL,32952,,,11/5/16,11/5/16,08:00 AM EDT,04:00 PM EDT
Brevard County,Max K. Rodes Park,Max K. Rodes Park Community Center ,3410 Flanagan Ave ,,,West Melbourne,FL,32904,,,10/24/16,10/28/16,08:00 AM EDT,06:00 PM EDT
Brevard County,Max K. Rodes Park,Max K. Rodes Park Community Center ,3410 Flanagan Ave ,,,West Melbourne,FL,32904,,,10/29/16,10/30/16,08:00 AM EDT,04:00 PM EDT
Brevard County,Max K. Rodes Park,Max K. Rodes Park Community Center ,3410 Flanagan Ave ,,,West Melbourne,FL,32904,,,10/31/16,11/4/16,08:00 AM EDT,06:00 PM EDT
Brevard County,Max K. Rodes Park,Max K. Rodes Park Community Center ,3410 Flanagan Ave ,,,West Melbourne,FL,32904,,,11/5/16,11/5/16,08:00 AM EDT,04:00 PM EDT
Brevard County,Palm Bay Community Center,Palm Bay (Tony Rosa) Community Center,1502 Port Malabar RD NE,,,Palm Bay,FL,32905,,,10/24/16,10/28/16,08:00 AM EDT,06:00 PM EDT
Brevard County,Palm Bay Community Center,Palm Bay (Tony Rosa) Community Center,1502 Port Malabar RD NE,,,Palm Bay,FL,32905,,,10/29/16,10/30/16,08:00 AM EDT,04:00 PM EDT
Brevard County,Palm Bay Community Center,Palm Bay (Tony Rosa) Community Center,1502 Port Malabar RD NE,,,Palm Bay,FL,32905,,,10/31/16,11/4/16,08:00 AM EDT,06:00 PM EDT
Brevard County,Palm Bay Community Center,Palm Bay (Tony Rosa) Community Center,1502 Port Malabar RD NE,,,Palm Bay,FL,32905,,,11/5/16,11/5/16,08:00 AM EDT,04:00 PM EDT
Brevard County,Palm Bay Elections Office,Palm Bay Elections Office,450 Cogan Dr SE,,,Palm Bay,FL,32909,,,10/24/16,10/28/16,08:00 AM EDT,06:00 PM EDT
Brevard County,Palm Bay Elections Office,Palm Bay Elections Office,450 Cogan Dr SE,,,Palm Bay,FL,32909,,,10/29/16,10/30/16,08:00 AM EDT,04:00 PM EDT
Brevard County,Palm Bay Elections Office,Palm Bay Elections Office,450 Cogan Dr SE,,,Palm Bay,FL,32909,,,10/31/16,11/4/16,08:00 AM EDT,06:00 PM EDT
Brevard County,Palm Bay Elections Office,Palm Bay Elections Office,450 Cogan Dr SE,,,Palm Bay,FL,32909,,,11/5/16,11/5/16,08:00 AM EDT,04:00 PM EDT
Brevard County,Space Coast Association of Realtors,Space Coast Association of Realtors,1450 Sarno RD ,,,Melbourne,FL,32935,,,10/24/16,10/28/16,08:00 AM EDT,06:00 PM EDT
Brevard County,Space Coast Association of Realtors,Space Coast Association of Realtors,1450 Sarno RD ,,,Melbourne,FL,32935,,,10/29/16,10/30/16,08:00 AM EDT,04:00 PM EDT
Brevard County,Space Coast Association of Realtors,Space Coast Association of Realtors,1450 Sarno RD ,,,Melbourne,FL,32935,,,10/31/16,11/4/16,08:00 AM EDT,06:00 PM EDT
Brevard County,Space Coast Association of Realtors,Space Coast Association of Realtors,1450 Sarno RD ,,,Melbourne,FL,32935,,,11/5/16,11/5/16,08:00 AM EDT,04:00 PM EDT
Brevard County,Titusville Elections Office ,Titusville Elections Office ,400 South St ,,,Titusville,FL,32780,,,10/24/16,10/28/16,08:00 AM EDT,06:00 PM EDT
Brevard County,Titusville Elections Office ,Titusville Elections Office ,400 South St ,,,Titusville,FL,32780,,,10/29/16,10/30/16,08:00 AM EDT,04:00 PM EDT
Brevard County,Titusville Elections Office ,Titusville Elections Office ,400 South St ,,,Titusville,FL,32780,,,10/31/16,11/4/16,08:00 AM EDT,06:00 PM EDT
Brevard County,Titusville Elections Office ,Titusville Elections Office ,400 South St ,,,Titusville,FL,32780,,,11/5/16,11/5/16,08:00 AM EDT,04:00 PM EDT
Brevard County,Viera Regional Park,Viera Regional Community Center ,2300 Judge Fran Jamieson Way ,,,Viera,FL,32940,,,10/24/16,10/28/16,08:00 AM EDT,06:00 PM EDT
Brevard County,Viera Regional Park,Viera Regional Community Center ,2300 Judge Fran Jamieson Way ,,,Viera,FL,32940,,,10/29/16,10/30/16,08:00 AM EDT,04:00 PM EDT
Brevard County,Viera Regional Park,Viera Regional Community Center ,2300 Judge Fran Jamieson Way ,,,Viera,FL,32940,,,10/31/16,11/4/16,08:00 AM EDT,06:00 PM EDT
Brevard County,Viera Regional Park,Viera Regional Community Center ,2300 Judge Fran Jamieson Way ,,,Viera,FL,32940,,,11/5/16,11/5/16,08:00 AM EDT,04:00 PM EDT
Brevard County,Wickham Park,Wickham Park Community Center,2815 Leisure Way ,,,Melbourne,FL,32935,,,10/24/16,10/28/16,08:00 AM EDT,06:00 PM EDT
Brevard County,Wickham Park,Wickham Park Community Center,2815 Leisure Way ,,,Melbourne,FL,32935,,,10/29/16,10/30/16,08:00 AM EDT,04:00 PM EDT
Brevard County,Wickham Park,Wickham Park Community Center,2815 Leisure Way ,,,Melbourne,FL,32935,,,10/31/16,11/4/16,08:00 AM EDT,06:00 PM EDT
Brevard County,Wickham Park,Wickham Park Community Center,2815 Leisure Way ,,,Melbourne,FL,32935,,,11/5/16,11/5/16,08:00 AM EDT,04:00 PM EDT
Broward County,,African American Research Library,2650 Sistrunk Boulevard (NW 6th Street),,,Fort Lauderdale,FL,33306,,,10/24/16,11/6/16,07:00 AM EDT,07:00 PM EDT
Broward County,,Coral Ridge Mall,3200 N. Federal Highway,,,Fort Lauderdale,FL,33306,North or Northwest Entrance,,10/24/16,11/6/16,07:00 AM EDT,07:00 PM EDT
Broward County,,Davie/ Cooper City Branch Library,4600 SW 82nd Avenue,,,Davie,FL,33328,,,10/24/16,11/6/16,07:00 AM EDT,07:00 PM EDT
Broward County,,Emma Lou Olson Civic Center,1801 NE 6th Street,,,Pompano Beach,FL,33060,,,10/24/16,11/6/16,07:00 AM EDT,07:00 PM EDT
Broward County,,Fort Lauderdale Branch Library/ Art Serve,"1350 E. Sunrise Boulevard, Room 130",,,Fort Lauderdale,FL,33304,,,10/24/16,11/6/16,07:00 AM EDT,07:00 PM EDT
Broward County,,Hallandale Beach Cultural Community Center,410 SE 3rd Street,,,Hallandale Beach,FL,33009,,,10/24/16,11/6/16,07:00 AM EDT,07:00 PM EDT
Broward County,,Hollywood Branch Library,2600 Hollywood Boulevard,,,Hollywood,FL,33020,,,10/24/16,11/6/16,07:00 AM EDT,07:00 PM EDT
Broward County,,Miramar Branch Library,2050 Civic Center Place,,,Miramar,FL,33025,,,10/24/16,11/6/16,07:00 AM EDT,07:00 PM EDT
Broward County,,North Regional Library/ BC,1100 Coconut Creek Boulevard,,,Coconut Creek,FL,33066,,,10/24/16,11/6/16,07:00 AM EDT,07:00 PM EDT
Broward County,,Northwest Regional Library,3151 University Drive,,,Coral Springs,FL,33065,,,10/24/16,11/6/16,07:00 AM EDT,07:00 PM EDT
Broward County,,Oveta McKeithen Recreational Complex,445 SW 2nd Street,,,Deerfield Beach,FL,33441,,,10/24/16,11/6/16,07:00 AM EDT,07:00 PM EDT
Broward County,,Parkland Recreation and Enrichment Center,10559 Trails End,,,Parkland,FL,33076,,,10/24/16,11/6/16,07:00 AM EDT,07:00 PM EDT
Broward County,,South Regional Library/ BC,7300 S. Pines Blvd.,,,Pembroke Pines,FL,33024,,,10/24/16,11/6/16,07:00 AM EDT,07:00 PM EDT
Broward County,,Southwest Regional Library,16835 Sheridan Street,,,Pembroke Pines,FL,33331,,,10/24/16,11/6/16,07:00 AM EDT,07:00 PM EDT
Broward County,,Sunrise Senior Center,10650 W. Oakland Park Boulevard,,,Sunrise,FL,33351,,,10/24/16,11/6/16,07:00 AM EDT,07:00 PM EDT
Broward County,,Tamarac Branch Library,8701 W. Commercial Boulevard,,,Tamarac,FL,33321,,,10/24/16,11/6/16,07:00 AM EDT,07:00 PM EDT
Broward County,,Weston Branch Library,4205 Bonaventure Boulevard,,,Weston,FL,33332,,,10/24/16,11/6/16,07:00 AM EDT,07:00 PM EDT
Broward County,,West Regional Library,8601 W. Broward Boulevard,,,Plantation,FL,33324,,,10/24/16,11/6/16,07:00 AM EDT,07:00 PM EDT
Broward County,,Wilton Manors City Hall,2020 Wilton Drive,,,Wilton Manors,FL,33305,,,10/24/16,11/6/16,07:00 AM EDT,07:00 PM EDT
Broward County,Supervisor of Elections` Branch Office,E. Pat Larkins,520 Martin Luther King Boulevard,,,Pompano Beach,FL,33060,,,10/24/16,11/6/16,07:00 AM EDT,07:00 PM EDT
Broward County,Supervisor of Elections` Branch Office,Lauderhill Mall,1519 NW 40th Avenue,,,Lauderhill,FL,33313,,,10/24/16,11/6/16,07:00 AM EDT,07:00 PM EDT
Calhoun County,Supervisor of Elections - Main Office,Calhoun County Courthouse,20859 Central Avenue East,Room 117,1st Floor,Blountstown,FL,32424,,www.votecalhoun.com,10/24/16,11/5/16,08:00 AM EDT,05:30 PM EDT
Charlotte County,Charlotte County Historical Courthouse,Charlotte County Historical Courthouse,226 Taylor St,2nd Floor,,Punta Gorda,FL,33950,,www.soe@charlottevotes.com,10/24/16,11/6/16,7:00 AM EDT,07:00 PM EDT
Charlotte County,Mid County Regional Library,Mid County Regional Library,2050 Forrest Nelson Blvd.,,,Port Charlotte,FL,33952,,soe@charlottevotes.com,10/24/16,11/6/16,7:00 AM EDT,07:00 PM EDT
Charlotte County,West County Annex,West County Annex,6868 San Casa Dr.,,,Englewood,FL,34224,,soe@charlottevotes.com,10/24/16,11/6/16,7:00 AM EDT,07:00 PM EDT
Citrus County,Beverly Hills Library,Central Ridge Library,425 W Roosevelt Blvd,,,Beverly Hills,FL,34465,Corner of Forest Ridge Blvd and Roosevelt Blvd,,10/24/16,11/5/16,07:00 AM EDT,07:00 PM EDT
Citrus County,Crystal River Supervisor of Elections Office,West Citrus Government Center,1540 N Meadowcrest Blvd,,,Crystal River,FL,34429,Off Hwy 44 and Meadowcrest ,,10/24/16,11/5/16,07:00 AM EDT,07:00 PM EDT
Citrus County,Homosassa Public Library,Homosassa Public Library,4100 S Grandmarch Ave,,,Homosassa,FL,34446,Grover Cleveland Blvd to Grandmarch Ave,,10/24/16,11/5/16,07:00 AM EDT,07:00 PM EDT
Citrus County,Inverness City Hall,Inverness Government Center/City Hall,212 W Main St,,,Inverness ,FL,34450,Downtown Inverness next to the Square,,10/24/16,11/5/16,07:00 AM EDT,07:00 PM EDT
Clay County,Clay County Elections Office,Clay County Elections Office,500 N. Orange Ave,,Training Room 2,Green Cove Springs,FL,32043,,,10/24/16,11/5/16,07:00 AM EDT,07:00 PM EDT
Clay County,Eagle Landing at Oakleaf Plantation,Eagle Landing at Oakleaf Plantation,3973 Eagle Landing Pkwy,,,Orange Park,FL,32065,,,10/24/16,11/5/16,07:00 AM EDT,07:00 PM EDT
Clay County,Fleming Island Library,Fleming Island Library,1895 Town Center Blvd,,,Fleming Island,FL,32003,,,10/24/16,11/5/16,07:00 AM EDT,07:00 PM EDT
Clay County,Keystone Heights Tax Collectors Office,Keystone Heights Tax Collectors Office,7380 State Road 100,Suite 10,,Keystone Heights,FL,32656,,,10/24/16,11/5/16,07:00 AM EDT,07:00 PM EDT
Clay County,Middleburg Civic Center,Middleburg Civic Center,2102 Palmetto St,,,Middleburg,FL,32068,,,10/24/16,11/5/16,07:00 AM EDT,07:00 PM EDT
Clay County,Orange Park Library,Orange Park Library,2054 Plainfield Ave,,,Orange Park,FL,32073,,,10/24/16,11/5/16,07:00 AM EDT,07:00 PM EDT
Collier County,Collier County Government Complex,Collier County Government Complex,3311 Tamiami Trl E,,,Naples,FL,34112,,,10/24/16,11/5/16,09:00 AM EDT,06:00 PM EDT
Collier County,Everglades City Hall,Everglades City Hall,102 Copeland Ave N,,,Everglades City,FL,34139,,,10/24/16,11/5/16,09:00 AM EDT,06:00 PM EDT
Collier County,Golden Gate Community Center,Golden Gate Community Center,4701 Golden Gate Pkwy,,,Naples,FL,34116,,,10/24/16,11/5/16,09:00 AM EDT,06:00 PM EDT
Collier County,Immokalee Community Park,Immokalee Community Park,321 N First St,,,Immokalee,FL,34142,,,10/24/16,11/5/16,09:00 AM EDT,06:00 PM EDT
Collier County,Library Headquarters,Library Headquarters,2385 Orange Blossom Dr,,,Naples,FL,34109,,,10/24/16,11/5/16,09:00 AM EDT,06:00 PM EDT
Collier County,Marco Island Library,Marco Island Library,210 S Heathwood Dr,,,Marco Island,FL,34145,,,10/24/16,11/5/16,09:00 AM EDT,06:00 PM EDT
Collier County,Norris Center,Norris Center,755 8th Ave S,,,Naples,FL,34102,,,10/24/16,11/5/16,09:00 AM EDT,06:00 PM EDT
Collier County,North Collier Regional Park,North Collier Regional Park,15000 Livingston Rd,,,Naples,FL,34109,,,10/24/16,11/5/16,09:00 AM EDT,06:00 PM EDT
Collier County,Supervisor of Elections Office,Supervisor of Elections Office,3750 Enterprise Ave,,,Naples,FL,34104,,,10/24/16,11/5/16,09:00 AM EDT,06:00 PM EDT
Columbia County,Fort White Office,In front of ball fields by the FW high school,17579 SW SR 47,,,Fort White,FL,32038,Right off of 47,,10/29/16,11/5/16,8:30 AM EDT,4:30 PM EDT
Columbia County,SOE Main Office,Intersection of 90 and Baya,971 W. Duval St.,Old hospital building,,Lake City,FL,32055,,,10/29/16,11/5/16,7:00 AM EDT,7:00 PM EDT
DeSoto County,Supervisor of Elections office,County Administration Building,201 E. Oak Street,Room 104,,Arcadia,FL,34266,,www.votedesoto.com,10/24/16,10/28/16,8:00 AM EDT,4:30 PM EDT
DeSoto County,Supervisor of Elections office,County Administration Building,201 E. Oak Street,Room 104,,Arcadia,FL,34266,,www.votedesoto.com,10/31/16,11/4/16,8:00 AM EDT,4:30 PM EDT
DeSoto County,Supervisor of Elections office,County Administration Building,201 E. Oak Street,Room 104,,Arcadia,FL,34266,,www.votedesoto.com,10/29/16,10/30/16,7:00 AM EDI,3:00 PM EDT
DeSoto County,Supervisor of Elections office,County Administration Building,201 E. Oak Street,Room 104,,Arcadia,FL,34266,,www.votedesoto.com,11/5/16,11/5/16,7:00 AM EDI,3:00 PM EDT
Dixie County,Supervisor of Elections Office,Supervisor of Elections Office,229 NE 351 HWY,Suite A,,Cross City,FL,32628,,,10/27/16,10/29/16,08:00 AM EDT,06:00 PM EDT
Dixie County,Supervisor of Elections Office,Supervisor of Elections Office,229 NE 351 HWY,Suite A,,Cross City,FL,32628,,,10/30/16,10/30/16,08:00 AM EDT,04:00 PM EDT
Dixie County,Supervisor of Elections Office,Supervisor of Elections Office,229 NE 351 HWY,Suite A,,Cross City,FL,32628,,,10/31/16,11/5/16,08:00 AM EDT,06:00 PM EDT
Duval County,,Argyle Branch Library,7973 Old Middleburg Rd S,,,Jacksonville,FL,,,duvalelections.com,10/24/16,11/6/16,07:00 AM EDT,07:00 PM EDT
Duval County,,Beaches Branch Library,600 3rd St,,,Neptune Beach,FL,32266,,duvalelections.com,10/24/16,11/6/16,07:00 AM EDT,07:00 PM EDT
Duval County,,Bradham Brooks Branch Library,1755 Edgewood Ave W,,,Jacksonville,FL,,,http://www.duvalelections.com,10/24/16,11/6/16,07:00 AM EDT,07:00 PM EDT
Duval County,,Gateway Town Center,910 W 44th St,,,Jacksonville,FL,,,http://www.duvalelections.com/,10/24/16,11/6/16,07:00 AM EDT,07:00 PM EDT
Duval County,,Highlands Regional Library,1826 Dunn Ave,,,Jacksonville,FL,,,http://www.duvalelections.com/,10/24/16,11/6/16,07:00 AM EDT,07:00 PM EDT
Duval County,,Legends Community Center,5130 Soutel Dr,,,Jacksonville,FL,,,http://www.duvalelections.com/,10/24/16,11/6/16,07:00 AM EDT,07:00 PM EDT
Duval County,,Mandarin Branch Library,3330 Kori Rd,,,Jacksonville,FL,,,http://www.duvalelections.com/,10/24/16,11/6/16,07:00 AM EDT,07:00 PM EDT
Duval County,,Murray Hill Branch Library,918 Edgewood Ave S,,,Jacksonville,FL,,,http://www.duvalelections.com/,10/24/16,11/6/16,07:00 AM EDT,07:00 PM EDT
Duval County,,Oceanway Community Center,12215 Sago Ave,,,Jacksonville,FL,,,http://www.duvalelections.com/,10/24/16,11/6/16,07:00 AM EDT,07:00 PM EDT
Duval County,,Pablo Creek Regional Library,13295 Beach Blvd,,,Jacksonville,FL,,,http://www.duvalelections.com/,10/24/16,11/6/16,07:00 AM EDT,07:00 PM EDT
Duval County,,Regency Square Branch Library,9900 Regency Square Blvd,,,Jacksonville,FL,,,http://www.duvalelections.com/,10/24/16,11/6/16,07:00 AM EDT,07:00 PM EDT
Duval County,,San Marco Branch Library,1513 LaSalle St,,,Jacksonville,FL,,,http://www.duvalelections.com/,10/24/16,11/6/16,07:00 AM EDT,07:00 PM EDT
Duval County,,Southeast Regional Library,10599 Deerwood Park Blvd,,,Jacksonville,FL,,,http://www.duvalelections.com/,10/24/16,11/6/16,07:00 AM EDT,07:00 PM EDT
Duval County,,South Mandarin Branch Library,12125 San Jose Blvd,,,Jacksonville,FL,,,http://www.duvalelections.com/,10/24/16,11/6/16,07:00 AM EDT,07:00 PM EDT
Duval County,,Supervisor of Elections Main Office,105 East Monroe St,,,Jacksonville,FL,,,http://www.duvalelections.com/,10/24/16,11/6/16,08:00 AM EDT,05:00 PM EDT
Duval County,,University Park Branch Library,3435 University Blvd N,,,Jacksonville,FL,,,http://www.duvalelections.com/,10/24/16,11/6/16,07:00 AM EDT,07:00 PM EDT
Duval County,,Webb Wesconnett Regional Library,6887 103rd St,,,Jacksonville,FL,,,http://www.duvalelections.com/,10/24/16,11/6/16,07:00 AM EDT,07:00 PM EDT
Duval County,,West Branch Library,1425 Chaffee Rd S,,,Jacksonville,FL,,,http://www.duvalelections.com/,10/24/16,11/6/16,07:00 AM EDT,07:00 PM EDT
Escambia County,Bellview/Saufley,Bellview/Saufley,916 W Michigan Ave,,,Pensacola,FL,32505,,www.EscambiaVotes.com,10/24/16,11/5/16,07:00 AM CDT,07:00 PM CDT
Escambia County,Escambia County Extension Services,Escambia County Extension Services,3740 Stefani Road,,,Cantonment,FL,32533,,www.EscambiaVotes.com,10/24/16,11/5/16,07:00 AM CDT,07:00 PM CDT
Escambia County,Genealogy Branch Library,Genealogy Branch Library,5740 N. 9th Avenue,,,Pensacola,FL,32504,,www.EscambiaVotes.com,10/24/16,11/5/16,07:00 AM CDT,07:00 PM CDT
Escambia County,Main Library,Main Library,239 N. Spring Street,,,Pensacola,FL,32502,,www.EscambiaVotes.com,10/24/16,11/5/16,07:00 AM CDT,07:00 PM CDT
Escambia County,Main Office,Supervisor of Elections ,213 Palafox Place,Second Floor,,Pensacola,FL,32502,,www.EscambiaVotes.com,10/24/16,11/5/16,07:00 AM CDT,07:00 PM CDT
Escambia County,Molino Community Center,Molino Community Center,6450 Highway 95A North,,,Molino,FL,32577,,www.EscambiaVotes.com,10/24/16,11/5/16,07:00 AM CDT,07:00 PM CDT
Escambia County,Southwest Branch Library,Southwest Branch Library,12248 Gulf Beach Highway,,,Pensacola,FL,32507,,www.EscambiaVotes.com,10/24/16,11/5/16,07:00 AM CDT,07:00 PM CDT
Flagler County,Flagler County Public Library,Flagler County Public Library,2500 Palm Coast Parkway NW,,,Palm Coast,FL,32137,,,10/24/16,11/5/16,10:00 AM EDT,06:00 PM EDT
Flagler County,Palm Coast Community Center,Palm Coast Community Center,305 Palm Coast Parkway NE,,,Palm Coast,FL,32137,,http://www.flaglerelections.com/,10/24/16,11/5/16,10:00 AM EDT,06:00 PM EDT
Flagler County,Supervisor of Elections Office,Flagler County Goverment Services Building,1769 E Moody Boulevard ,Building 2 STE 101,,Bunnell,FL,32110,,http://www.flaglerelections.com/,10/24/16,11/5/16,10:00 AM EDT,06:00 PM EDT
Franklin County,Supervisor of Elections,Carrabelle Annex,912 NW Ave A,Carrabelle Annex,,Carrabelle,FL,32322,Corner of Hwy 98 & Avenue A,,10/29/16,11/5/16,08:00 AM EDT,06:00 PM EDT
Franklin County,Supervisor of Elections Office,Apalachicola,47 Avenue F,Elections Main Office,,Apalachicola,FL,32320,1 Block Off Hwy 98,www.votefranklin.com,10/29/16,11/5/16,08:00 AM EDT,06:00 PM EDT
Gadsden County,Chattahoochee Library,Chattahoochee Library,300 Maple Street,,,Chattahoochee,FL,32324,,,10/24/16,10/28/16,08:00 AM EDT,07:00 PM EDT
Gadsden County,Chattahoochee Library,Chattahoochee Library,300 Maple Street,,,Chattahoochee,FL,32324,,,10/29/16,10/29/16,08:00 AM EDT,06:00 PM EDT
Gadsden County,Chattahoochee Library,Chattahoochee Library,300 Maple Street,,,Chattahoochee,FL,32324,,,10/30/16,10/30/16,10:00 AM EDT,06:00 PM EDT
Gadsden County,Chattahoochee Library,Chattahoochee Library,300 Maple Street,,,Chattahoochee,FL,32324,,,10/31/16,11/4/16,08:00 AM EDT,07:00 PM EDT
Gadsden County,Chattahoochee Library,Chattahoochee Library,300 Maple Street,,,Chattahoochee,FL,32324,,,11/5/16,11/5/16,08:00 AM EDT,06:00 PM EDT
Gadsden County,Havana Library,Havana Library,203 E. 5th Ave.,,,Havana,FL,32333,,,10/24/16,10/28/16,08:00 AM EDT,07:00 PM EDT
Gadsden County,Havana Library,Havana Library,203 E. 5th Ave.,,,Havana,FL,32333,,,10/29/16,10/29/16,08:00 AM EDT,06:00 PM EDT
Gadsden County,Havana Library,Havana Library,203 E. 5th Ave.,,,Havana,FL,32333,,,10/30/16,10/30/16,10:00 AM EDT,06:00 PM EDT
Gadsden County,Havana Library,Havana Library,203 E. 5th Ave.,,,Havana,FL,32333,,,10/31/16,11/4/16,08:00 AM EDT,07:00 PM EDT
Gadsden County,Havana Library,Havana Library,203 E. 5th Ave.,,,Havana,FL,32333,,,11/5/16,11/5/16,08:00 AM EDT,06:00 PM EDT
Gadsden County,Midway City Hall,Midway City Hall,60 MLK Blvd.,,,Midway,FL,32343,,,10/24/16,10/28/16,08:00 AM EDT,07:00 PM EDT
Gadsden County,Midway City Hall,Midway City Hall,60 MLK Blvd.,,,Midway,FL,32343,,,10/29/16,10/29/16,08:00 AM EDT,06:00 PM EDT
Gadsden County,Midway City Hall,Midway City Hall,60 MLK Blvd.,,,Midway,FL,32343,,,10/30/16,10/30/16,10:00 AM EDT,06:00 PM EDT
Gadsden County,Midway City Hall,Midway City Hall,60 MLK Blvd.,,,Midway,FL,32343,,,10/31/16,11/4/16,08:00 AM EDT,07:00 PM EDT
Gadsden County,Midway City Hall,Midway City Hall,60 MLK Blvd.,,,Midway,FL,32343,,,11/5/16,11/5/16,08:00 AM EDT,06:00 PM EDT
Gadsden County,Supervisor of Elections Office,Supervisor of Elections Office,16 S. Madison Street,,,Quincy,FL,32351,,,10/24/16,10/28/16,08:00 AM EDT,07:00 PM EDT
Gadsden County,Supervisor of Elections Office,Supervisor of Elections Office,16 S. Madison Street,,,Quincy,FL,32351,,,10/29/16,10/29/16,08:00 AM EDT,06:00 PM EDT
Gadsden County,Supervisor of Elections Office,Supervisor of Elections Office,16 S. Madison Street,,,Quincy,FL,32351,,,10/30/16,10/30/16,10:00 AM EDT,06:00 PM EDT
Gadsden County,Supervisor of Elections Office,Supervisor of Elections Office,16 S. Madison Street,,,Quincy,FL,32351,,,10/31/16,11/4/16,08:00 AM EDT,07:00 PM EDT
Gadsden County,Supervisor of Elections Office,Supervisor of Elections Office,16 S. Madison Street,,,Quincy,FL,32351,,,11/5/16,11/5/16,08:00 AM EDT,06:00 PM EDT
Gilchrist County,Gilchrist County Supervisor of Elections Office,Courthouse,112 South Main St Room 128,,,Trenton,FL,32693,,www.votegilchrist.com,10/29/16,10/29/16,8:00 AM EDT,6:00 PM EDT
Gilchrist County,Gilchrist County Supervisor of Elections Office,Courthouse,112 South Main St Room 128,,,Trenton,FL,32693,,www.votegilchrist.com,10/30/16,10/30/16,8:00 AM EDT,4:00 PM EDT
Gilchrist County,Gilchrist County Supervisor of Elections Office,Courthouse,112 South Main St Room 128,,,Trenton,FL,32693,,www.votegilchrist.com,10/31/16,11/4/16,8:00 AM EDT,6:00 PM EDT
